seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
42,1,20,3,3,0,0,0,3
42,2,20,6,5,0,12,1,4
42,3,20,7,7,0,12,3,6
42,4,19,9,10,0,10,2,4
42,5,20,7,10,0,14,6,4
42,6,20,10,11,0,6,1,4
43,1,20,3,3,0,0,0,3
43,2,20,6,5,0,8,1,4
43,3,20,8,7,0,7,2,8
43,4,11,11,10,0,8,1,4
43,5,9,12,10,0,6,3,5
43,6,9,7,11,0,4,9,4
44,1,20,3,3,0,0,0,3
44,2,20,7,5,0,23,0,4
44,3,20,7,6,10,8,4,4
44,4,20,7,9,1,10,4,4
44,5,20,10,9,0,16,1,5
44,6,20,10,10,0,12,4,4
45,1,20,3,2,0,4,0,3
45,2,20,5,4,0,8,2,4
45,3,20,8,9,12,10,1,4
45,4,20,9,9,0,13,3,4
45,5,20,10,9,0,6,3,4
45,6,20,11,12,0,8,3,5
46,1,20,3,2,0,3,0,3
46,2,20,6,4,0,10,1,4
46,3,20,6,6,0,9,4,6
46,4,18,9,8,0,7,1,4
46,5,19,11,10,0,7,2,5
46,6,20,11,12,0,12,4,4
47,1,20,3,4,0,0,0,3
47,2,20,7,5,0,22,0,4
47,3,20,8,6,0,4,3,6
47,4,19,10,8,0,6,2,4
47,5,19,12,9,0,11,2,6
47,6,20,10,10,0,16,6,4
48,1,20,3,2,0,4,0,3
48,2,20,5,4,0,7,2,4
48,3,20,9,8,13,9,0,5
48,4,20,10,10,0,10,3,4
48,5,20,6,11,0,4,8,4
48,6,20,9,11,0,9,1,4
49,1,20,3,2,0,3,0,3
49,2,20,6,4,0,4,1,4
49,3,20,8,5,16,14,2,6
49,4,18,11,10,0,7,1,4
49,5,18,14,11,0,7,1,8
49,6,11,12,11,0,15,6,4
50,1,20,3,4,0,0,0,3
50,2,20,7,5,0,4,0,4
50,3,20,9,8,16,17,2,7
50,4,20,10,9,0,8,3,4
50,5,20,14,10,0,8,0,7
